R_angstrom,E_FIC_aug-cc-pVQZ_hartree
3.351951952,-0.509226585
3.356756757,-0.509162978
3.361561562,-0.50909978
3.366366366,-0.509036988
3.371171171,-0.5089746
3.375975976,-0.508912615
3.380780781,-0.508851029
3.385585586,-0.508789841
3.39039039,-0.508729049
3.395195195,-0.50866865
3.4,-0.508608642
3.404804805,-0.508549024
3.40960961,-0.508489792
3.414414414,-0.508430945
3.419219219,-0.508372481
3.424024024,-0.508314397
3.428828829,-0.508256692
3.433633634,-0.508199364
3.438438438,-0.508142409
3.443243243,-0.508085827
3.448048048,-0.508029615
3.452852853,-0.50797377
3.457657658,-0.507918292
3.462462462,-0.507863178
3.467267267,-0.507808425
3.472072072,-0.507754033
3.476876877,-0.507699998
3.481681682,-0.507646318
3.486486486,-0.507592993
3.491291291,-0.507540019
3.496096096,-0.507487395
3.500900901,-0.507435118
3.505705706,-0.507383187
3.510510511,-0.5073316
3.515315315,-0.507280355
3.52012012,-0.507229449
3.524924925,-0.507178881
3.52972973,-0.507128649
3.534534535,-0.50707875
3.539339339,-0.507029184
3.544144144,-0.506979947
3.548948949,-0.506931039
3.553753754,-0.506882457
3.558558559,-0.506834199
3.563363363,-0.506786263
3.568168168,-0.506738648
3.572972973,-0.506691351
3.577777778,-0.506644371
3.582582583,-0.506597706
3.587387387,-0.506551354
3.592192192,-0.506505313
3.596996997,-0.506459581
3.601801802,-0.506414156
3.606606607,-0.506369037
3.611411411,-0.506324222
3.616216216,-0.506279708
3.621021021,-0.506235495
3.625825826,-0.50619158
3.630630631,-0.506147962
3.635435435,-0.506104638
3.64024024,-0.506061607
3.645045045,-0.506018867
3.64984985,-0.505976417
3.654654655,-0.505934254
3.659459459,-0.505892378
3.664264264,-0.505850785
3.669069069,-0.505809475
3.673873874,-0.505768446
3.678678679,-0.505727695
3.683483483,-0.505687222
3.688288288,-0.505647024
3.693093093,-0.505607101
3.697897898,-0.505567449
3.702702703,-0.505528068
3.707507508,-0.505488956
3.712312312,-0.505450111
3.717117117,-0.505411532
3.721921922,-0.505373216
3.726726727,-0.505335163
3.731531532,-0.505297371
3.736336336,-0.505259837
3.741141141,-0.505222561
3.745945946,-0.505185541
3.750750751,-0.505148774
3.755555556,-0.505112261
3.76036036,-0.505075998
3.765165165,-0.505039985
3.76996997,-0.50500422
3.774774775,-0.504968701
3.77957958,-0.504933426
3.784384384,-0.504898395
3.789189189,-0.504863606
3.793993994,-0.504829057
3.798798799,-0.504794746
3.803603604,-0.504760672
3.808408408,-0.504726835
3.813213213,-0.504693231
3.818018018,-0.504659859
3.822822823,-0.504626719
3.827627628,-0.504593809
3.832432432,-0.504561127
3.837237237,-0.504528671
3.842042042,-0.504496441
3.846846847,-0.504464434
3.851651652,-0.50443265
3.856456456,-0.504401087
3.861261261,-0.504369743
3.866066066,-0.504338618
3.870870871,-0.504307709
3.875675676,-0.504277015
3.88048048,-0.504246536
3.885285285,-0.504216269
3.89009009,-0.504186213
3.894894895,-0.504156367
3.8996997,-0.504126729
3.904504505,-0.504097298
3.909309309,-0.504068073
3.914114114,-0.504039052
3.918918919,-0.504010235
3.923723724,-0.503981619
3.928528529,-0.503953203
3.933333333,-0.503924986
3.938138138,-0.503896968
3.942942943,-0.503869145
3.947747748,-0.503841518
3.952552553,-0.503814085
3.957357357,-0.503786844
3.962162162,-0.503759795
3.966966967,-0.503732936
3.971771772,-0.503706265
3.976576577,-0.503679782
3.981381381,-0.503653486
3.986186186,-0.503627374
3.990990991,-0.503601447
3.995795796,-0.503575702
4.000600601,-0.503550138
4.005405405,-0.503524755
4.01021021,-0.503499551
4.015015015,-0.503474524
4.01981982,-0.503449674
4.024624625,-0.503425
4.029429429,-0.5034005
4.034234234,-0.503376173
4.039039039,-0.503352018
4.043843844,-0.503328034
4.048648649,-0.50330422
4.053453453,-0.503280574
4.058258258,-0.503257095
4.063063063,-0.503233783
4.067867868,-0.503210636
4.072672673,-0.503187653
4.077477477,-0.503164832
4.082282282,-0.503142174
4.087087087,-0.503119677
4.091891892,-0.503097339
4.096696697,-0.503075159
4.101501502,-0.503053138
4.106306306,-0.503031272
4.111111111,-0.503009562
4.115915916,-0.502988007
4.120720721,-0.502966604
4.125525526,-0.502945354
4.13033033,-0.502924255
4.135135135,-0.502903306
4.13993994,-0.502882506
4.144744745,-0.502861855
4.14954955,-0.50284135
4.154354354,-0.502820992
4.159159159,-0.502800779
4.163963964,-0.50278071
4.168768769,-0.502760784
4.173573574,-0.502741
4.178378378,-0.502721358
4.183183183,-0.502701855
4.187987988,-0.502682492
4.192792793,-0.502663267
4.197597598,-0.50264418
4.202402402,-0.502625229
4.207207207,-0.502606413
4.212012012,-0.502587732
4.216816817,-0.502569185
4.221621622,-0.50255077
4.226426426,-0.502532487
4.231231231,-0.502514335
4.236036036,-0.502496312
4.240840841,-0.502478419
4.245645646,-0.502460654
4.25045045,-0.502443016
4.255255255,-0.502425505
4.26006006,-0.502408119
4.264864865,-0.502390858
4.26966967,-0.502373721
4.274474474,-0.502356706
4.279279279,-0.502339814
4.284084084,-0.502323043
4.288888889,-0.502306392
4.293693694,-0.502289861
4.298498498,-0.502273448
4.303303303,-0.502257154
4.308108108,-0.502240976
4.312912913,-0.502224915
4.317717718,-0.502208969
4.322522523,-0.502193138
4.327327327,-0.50217742
4.332132132,-0.502161816
4.336936937,-0.502146324
4.341741742,-0.502130943
4.346546547,-0.502115673
4.351351351,-0.502100513
4.356156156,-0.502085462
4.360960961,-0.502070519
4.365765766,-0.502055684
4.370570571,-0.502040956
4.375375375,-0.502026334
4.38018018,-0.502011817
4.384984985,-0.501997405
4.38978979,-0.501983096
4.394594595,-0.501968891
4.399399399,-0.501954789
4.404204204,-0.501940788
4.409009009,-0.501926888
4.413813814,-0.501913088
4.418618619,-0.501899388
4.423423423,-0.501885786
4.428228228,-0.501872283
4.433033033,-0.501858877
4.437837838,-0.501845568
4.442642643,-0.501832356
4.447447447,-0.501819238
4.452252252,-0.501806215
4.457057057,-0.501793287
4.461861862,-0.501780451
4.466666667,-0.501767709
4.471471471,-0.501755059
4.476276276,-0.5017425
4.481081081,-0.501730031
4.485885886,-0.501717653
4.490690691,-0.501705365
4.495495495,-0.501693165
4.5003003,-0.501681053
4.505105105,-0.501669029
4.50990991,-0.501657093
4.514714715,-0.501645242
4.51951952,-0.501633477
4.524324324,-0.501621797
4.529129129,-0.501610202
4.533933934,-0.501598691
4.538738739,-0.501587263
4.543543544,-0.501575918
4.548348348,-0.501564655
4.553153153,-0.501553473
4.557957958,-0.501542373
4.562762763,-0.501531352
4.567567568,-0.501520412
4.572372372,-0.501509551
4.577177177,-0.501498769
4.581981982,-0.501488064
4.586786787,-0.501477437
4.591591592,-0.501466888
4.596396396,-0.501456414
4.601201201,-0.501446017
4.606006006,-0.501435695
4.610810811,-0.501425448
4.615615616,-0.501415275
4.62042042,-0.501405175
4.625225225,-0.501395149
4.63003003,-0.501385196
4.634834835,-0.501375315
4.63963964,-0.501365506
4.644444444,-0.501355767
4.649249249,-0.501346099
4.654054054,-0.501336502
4.658858859,-0.501326974
4.663663664,-0.501317515
4.668468468,-0.501308125
4.673273273,-0.501298802
4.678078078,-0.501289548
4.682882883,-0.50128036
4.687687688,-0.50127124
4.692492492,-0.501262185
4.697297297,-0.501253196
4.702102102,-0.501244273
4.706906907,-0.501235414
4.711711712,-0.501226619
4.716516517,-0.501217888
4.721321321,-0.501209221
4.726126126,-0.501200616
4.730930931,-0.501192074
4.735735736,-0.501183594
4.740540541,-0.501175175
4.745345345,-0.501166818
4.75015015,-0.501158521
4.754954955,-0.501150285
4.75975976,-0.501142108
4.764564565,-0.50113399
4.769369369,-0.501125932
4.774174174,-0.501117932
4.778978979,-0.50110999
4.783783784,-0.501102106
4.788588589,-0.501094278
4.793393393,-0.501086508
4.798198198,-0.501078794
4.803003003,-0.501071136
4.807807808,-0.501063534
4.812612613,-0.501055987
4.817417417,-0.501048495
4.822222222,-0.501041057
4.827027027,-0.501033673
4.831831832,-0.501026342
4.836636637,-0.501019065
4.841441441,-0.501011841
4.846246246,-0.501004669
4.851051051,-0.500997549
4.855855856,-0.500990481
4.860660661,-0.500983464
4.865465465,-0.500976498
4.87027027,-0.500969582
4.875075075,-0.500962717
4.87987988,-0.500955902
4.884684685,-0.500949136
4.889489489,-0.500942419
4.894294294,-0.500935751
4.899099099,-0.500929131
4.903903904,-0.500922559
4.908708709,-0.500916035
4.913513514,-0.500909558
4.918318318,-0.500903128
4.923123123,-0.500896745
4.927927928,-0.500890408
4.932732733,-0.500884118
4.937537538,-0.500877872
4.942342342,-0.500871672
4.947147147,-0.500865517
4.951951952,-0.500859407
4.956756757,-0.500853341
4.961561562,-0.500847319
4.966366366,-0.50084134
4.971171171,-0.500835405
4.975975976,-0.500829513
4.980780781,-0.500823664
4.985585586,-0.500817857
4.99039039,-0.500812092
4.995195195,-0.500806369
5,-0.500800687
